Propellant;Number;I_ud;rho_т;R_г;k;T_0;nu;u_1;D_t;p_min
27% ПБГГ, 73% ПХА;1;2140.24;1497;433.396;1.29548;1670.85;0.35;0.0022;0.0025;500000
25% ПБАК, 75% ПХА;2;2197.63;1524;408.872;1.27803;1879.24;0.41;0.00245;0.0025;500000
20% ПБГГ, 80% RDX;18;2243.05;1522;462.973;1.30893;1761.16;0.67;0.00102;0.004;500000
20% ПБГГ, 40% ПХА, 40% RDX;17;2248.49;1557;426.036;1.28811;1954.05;0.44;0.00246;0.0035;500000
20% ПБКГ, 64% ПХА, 16% ПХК;19;2276.28;1642;352.009;1.24667;2328.16;0.7;0.00345;0.002;500000
20% ПБГГ, 80% ПХА;16;2357.62;1593;376.545;1.24714;2370.96;0.34;0.00347;0.002;500000
16% ПБГГ, 84% ПХА;3;2482.3;1654;345.314;1.22434;2754.34;0.51;0.00343;0.002;500000
13% ПБГГ, 87% ПХА;4;2557.08;1702;324.539;1.21089;2965.28;0.4;0.00485;0.0015;500000
20% ПУ, 70% ПХА, 9,5% Al, 0,5% MnO2;20;2572.07;1801;365.064;1.230;3103.6;0.22;0.00479;0.0025;500000
12% ПБГГ, 88% ПХА;5;2576.43;1719;318.7;1.20797;2999.81;0.4;0.00452;0.0015;500000
17% ПБКГ, 67% ПХА, 16% Al;13;2670.5;1702;449.147;1.27508;3093.81;0.29;0.00426;0.002;500000
14% ПБАН, 69,6% ПХА, 16% Al, 0,4% Fe2O3;7;2685.38;1757;404.031;1.25486;3402.58;0.33;0.0074;0.0012;500000
14% ПБАН, 70% ПХА, 16% Al;6;2691.77;1753;405.04;1.25484;3409.58;0.33;0.005;0.002;500000
13,7% ПБГГ, 71% ПХА, 15% Al, 0,3% Fe2O3;15;2704.92;1757;411.523;1.25524;3342.36;0.358;0.0064;0.0012;500000
11% ПБГГ, 69,5% ПХА, 19% Al, 0,5% Fe2O3;11;2708.96;1827;410.862;1.257;3573.49;0.32;0.00377;0.0012;500000
14% ПБКГ, 66% ПХА, 20% Al;12;2714.68;1771;441.326;1.27226;3373.47;0.29;0.00438;0.002;500000
14% ПБГГ, 67,7% ПХА, 18% Al, 0,3% Fe2O3;8;2721.76;1765;431.986;1.26653;3373.35;0.304;0.00556;0.0017;500000
13,5% ПБГГ, 69% ПХА, 17,5% Al;10;2722.75;1769;425.604;1.26259;3406.4;0.31;0.00316;0.0025;500000
14% ПБГГ, 68% ПХА, 18% Al;9;2726.77;1762;432.651;1.26642;3379;0.23;0.00458;0.002;500000
12% ПБГГ, 62% ПХА, 18% Al, 8% HMX;14;2730.38;1801;425.336;1.26570;3458.32;0.25;0.00405;0.0025;500000
